"policy_area","name","link","published_by","publication_type","description","name1","link1","name2","link2","name3","link3","name4","link4","name5","link5","name6","link6","name7","link7","name8","link8","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Crime and Justice","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Crime and Justice","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Crime and Justice","Scottish Crime and Justice Survey","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Scottish Crime and Justice Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Culture, Communities and Society","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Culture, Communities and Society","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Culture, Communities and Society","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Culture, Communities and Society","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Culture, Communities and Society","UK Data Archive","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Scottish Household Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,
"Culture, Communities and Society","Scottish Household Survey","http://www.scotland.gov.uk/Topics/Statistics/16002/DataAccesAgreements",,"Scottish Government Survey Data","The Scottish Government website provides further information on accessing Scottish Household Survey data",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,
"Culture, Communities and Society","Scottish House Conditions Survey","http://www.scotland.gov.uk/Topics/Statistics/16002/DataAccesAgreements",,"Scottish Government Survey Data","The Scottish Government website provides further information on accessing Scottish House Conditions Survey data. Subject to small numbers and disclosure control, it is possible to request ad hoc analysis of any of the housing variables on the SHS and SHCS by age, gender, disability and ethnicity and also religion in the case of the SHS.  Data requests should be made to the SHS Mailbox or the SHCS Mailbox.","SHS Mailbox","mailto:shs@scotland.gsi.gov.uk","SHCS Mailbox","mailto:shcs@scotland.gsi.gov.uk",,,,,,,,,,,,,1,1,1,1,1,1,1,,
"Demographics","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Demographics","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Demographics","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Demographics","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Demographics","Scotland's Census Data Explorer","http://www.scotlandscensus.gov.uk/ods-web/home.html",,"Scotland's Census","Download data, charts and tables from the 2011 Census",,,,,,,,,,,,,,,,,1,1,,1,1,1,,,
"Demographics","National Records of Scotland","http://www.nrscotland.gov.uk/statistics-and-data/statistics",,"Scotland's Census","More up to date information is available, as well as data tables including time series information, from the National Records of Scotland website.",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
"Demographics","Scotland's Census Outputs Prospectus","http://www.scotlandscensus.gov.uk/outputs-prospectus",,"Scotland's Census","Visit the Scotland Census Outputs Prospectus to see what data is scheduled for release.",,,,,,,,,,,,,,,,,1,,,,,,,,
"Demographics","Scotland's Census Results 2011","http://www.scotlandscensus.gov.uk/en/censusresults/",,"Scotland's Census","Download data tables from the most recent census releases.",,,,,,,,,,,,,,,,,,,1,,1,,1,1,
"Employability, Skills and Lifelong Learning","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Employability, Skills and Lifelong Learning","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Employability, Skills and Lifelong Learning","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Employability, Skills and Lifelong Learning","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Employability, Skills and Lifelong Learning","Annual Population Survey","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Annual Population Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Health, Social Care and Sport","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Health, Social Care and Sport","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Health, Social Care and Sport","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Health, Social Care and Sport","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Health, Social Care and Sport","Scottish Health Survey","http://discover.ukdataservice.ac.uk/?sf=Data catalogue&df=KeyDataFacet_Scottish Health Survey",,"Scottish Government Survey Data","Access to Scottish Health Survey data is available via the UK Data Service",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,
"Health, Social Care and Sport","ScotPHO",,,"External Links","The Scottish Public Health Observatory presents data on disability, ethnicity and sexual orientation","Disability","http://www.scotpho.org.uk/health-wellbeing-and-disease/disability/data/data-introduction","Ethnicity","http://www.scotpho.org.uk/population-groups/ethnic-minorities/data/data-introduction","Sexual Orientation","http://www.scotpho.org.uk/population-groups/lesbian-gay-and-bisexual-lgb-people/data/data-introduction",,,,,,,,,,,1,,,,,,,,
"Health, Social Care and Sport","ScotPHO: disability","http://www.scotpho.org.uk/health-wellbeing-and-disease/disability/data/data-introduction",,"External Links","The Scottish Public Health Observatory presents data on disability",,,,,,,,,,,,,,,,,,,1,,,,,,
"Health, Social Care and Sport","ScotPHO: ethnicity","http://www.scotpho.org.uk/population-groups/ethnic-minorities/data/data-introduction",,"External Links","The Scottish Public Health Observatory presents data on ethnicity",,,,,,,,,,,,,,,,,,,,1,,,,,
"Health, Social Care and Sport","ScotPHO: sexual orientation","http://www.scotpho.org.uk/population-groups/lesbian-gay-and-bisexual-lgb-people/data/data-introduction",,"External Links","The Scottish Public Health Observatory presents data on sexual orientation",,,,,,,,,,,,,,,,,,,,,,,1,,
"Housing and Regeneration","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Housing and Regeneration","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Housing and Regeneration","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Housing and Regeneration","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Housing and Regeneration","Scotland's Census Data Explorer","http://www.scotlandscensus.gov.uk/ods-web/home.html",,"Scotland's Census","Download data, charts and tables from the 2011 Census",,,,,,,,,,,,,,,,,1,,,,,,,,
"Housing and Regeneration","UK Data Archive","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Scottish Household Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Housing and Regeneration","Scottish Household Survey","http://www.scotland.gov.uk/Topics/Statistics/16002/DataAccesAgreements",,"Scottish Government Survey Data","The Scottish Government website provides further information on accessing Scottish Household Survey data",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Housing and Regeneration","SCORE",,,"Scottish Government Survey Data","SCORE microdata are available on request from the Scottish Government subject to data users signing a data access agreement.","Mailbox","mailto:chma@scotland.gsi.gov.uk",,,,,,,,,,,,,,,1,1,,1,1,,,,
"Housing and Regeneration","Scottish House Conditions Survey","http://www.scotland.gov.uk/Topics/Statistics/16002/DataAccesAgreements",,"Scottish Government Survey Data","The Scottish Government website provides further information on accessing Scottish House Conditions Survey data. Subject to small numbers and disclosure control, it is possible to request ad hoc analysis of any of the housing variables on the SHS and SHCS by age, gender, disability and ethnicity and also religion in the case of the SHS.  Data requests should be made to the SHS Mailbox or the SHCS Mailbox.","SHS Mailbox","mailto:shs@scotland.gsi.gov.uk","SHCS Mailbox","mailto:shcs@scotland.gsi.gov.uk",,,,,,,,,,,,,1,1,1,1,1,1,,,
"Income and Poverty","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Income and Poverty","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Income and Poverty","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Income and Poverty","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Income and Poverty","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs.","age","http://statistics.gov.scot/def/concept-scheme/age","disability","http://statistics.gov.scot/def/concept-scheme/disability-status","ethnicity","http://statistics.gov.scot/def/concept-scheme/ethnicity","gender","http://statistics.gov.scot/def/concept-scheme/gender/",,,,,,,,,1,,,,,,,,
"Income and Poverty","UK Data Archive","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Family Resources Survey and Scottish Household Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Income and Poverty","Scottish Household Survey","http://www.scotland.gov.uk/Topics/Statistics/16002/DataAccesAgreements",,"Scottish Government Survey Data","The Scottish Government website provides further information on accessing Scottish Household Survey data",,,,,,,,,,,,,,,,,1,,,,,,,,
"Labour Market and Social Security","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
